Date,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
2022-09-21,211483.52,248431.52,123457.93,123457.93,4702.21,4688.12
2022-09-22,211366.99,250367.76,121832.97,121832.97,4603.78,4557.65
2022-09-23,193674.06,268921.57,107432.59,107432.59,4066.17,4168.52
2022-09-24,203106.53,274829.17,125287.64,125287.64,4000.99,4053.22
2022-09-25,171017.67,313950.04,114967.12,114967.12,3285.14,3411.22
2022-09-26,234813.15,246042.61,121541.3,121541.3,4856.95,5088.37
2022-09-27,281318.2,174047.96,120081.41,120081.41,6569.28,6616.62
2022-09-28,220719.52,245048.21,119931.32,119931.32,4848.64,5007.92
2022-09-29,234277.72,259866.99,126163.98,126163.98,5338.45,5476.08
2022-09-30,219938.17,246948.42,117580.73,117580.73,5095.18,5321.3
2022-10-01,187673.47,291337.45,110255.97,110255.97,4683.7,4884.75
2022-10-02,188989.03,357966.85,135190.89,135190.89,3737.58,3878.38
2022-10-03,191469.97,342731.55,123651.34,123651.34,4197.78,4220.7
2022-10-04,208693.35,288335.69,134607.05,134607.05,4108.44,4146.4
2022-10-05,194539.43,318150.94,140928.2,140928.2,3406.17,3507.7
2022-10-06,223299.93,346946.66,163514.64,163514.64,3681.53,3780.45
2022-10-07,234029.2,335139.42,160529.15,160529.15,3989.91,3933.21
2022-10-08,185439.72,331352.81,133615.9,133615.9,3529.15,3463.44
2022-10-09,188770.96,367571.65,135473.54,135473.54,3294.11,3240.64
2022-10-10,207174.71,320023.58,125609.62,125609.62,3924.29,4132.95
2022-10-11,195203.48,350284.7,137757.58,137757.58,3630.33,3681.25
2022-10-12,215263.36,370956.24,133616.41,133616.41,3611.18,3790.77
2022-10-13,212568.71,326908.29,129984.4,129984.4,4132.99,4349.29
2022-10-14,199224.64,351689.03,126842.99,126842.99,3704.94,3840.24
2022-10-15,211836.99,344754.12,130280.2,130280.2,3808.99,3940.67
2022-10-16,182355.99,414815.2,139019.65,139019.65,3214.56,3237.25
2022-10-17,201454.99,382989.97,143866.64,143866.64,3677.9,3817.61
2022-10-18,211450.81,359837.72,135050.59,135050.59,3972.53,4235.97
2022-10-19,226212.78,340283.82,145847.98,145847.98,4335.87,4547.37
2022-10-20,237557.88,347083.66,150429.89,150429.89,4357.53,4545.69
2022-10-21,236895.68,355492.01,152439.46,152439.46,4318.98,4436.34
2022-10-22,232782.86,300802.03,142789.17,142789.17,4455.58,4624.19
2022-10-23,217422,326301.16,149861.53,149861.53,3890.65,4084.1
